                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.61479,                0.43493,                 1.0817,                0.98539,                0.07542,                0.16034,                0.15275,                0.42611,                0.62893,                0.67299,             0.00054478,             0.00054478,             0.00054478
                     37,                0.59907,                0.44307,                 1.0567,                0.99057,                0.08799,                0.29151,                0.27607,                0.42898,                0.58362,                0.67664,             0.00051177,             0.00051177,             0.00051177
                     38,                0.56736,                0.40856,                 1.0397,                0.98527,                0.11895,                0.26885,                0.25291,                0.40284,                0.58807,                0.67856,             0.00047876,             0.00047876,             0.00047876
                     39,                0.59784,                0.41556,                 1.0682,                0.99317,                0.11895,                0.24645,                0.22983,                0.43701,                0.59684,                0.69484,             0.00044576,             0.00044576,             0.00044576
                     40,                0.54713,                0.40456,                 1.0265,                0.97407,                0.09381,                0.20897,                0.19145,                0.40174,                 0.6049,                0.68023,             0.00041275,             0.00041275,             0.00041275
                     41,                0.45743,                0.33879,                0.99344,                0.99063,                0.14991,                0.30922,                0.28626,                0.40901,                0.59448,                0.68745,             0.00037974,             0.00037974,             0.00037974
                     42,                0.50546,                 0.3871,                 1.0421,                0.99445,                0.13152,                0.34902,                0.32764,                0.39599,                0.57024,                0.68586,             0.00034674,             0.00034674,             0.00034674
                     43,                 0.4676,                  0.344,                 1.0046,                0.99268,                0.16923,                0.34069,                0.31955,                  0.402,                0.57243,                 0.6772,             0.00031373,             0.00031373,             0.00031373
                     44,                0.48176,                0.36216,                 1.0306,                0.99207,                0.10638,                0.22199,                0.20957,                 0.3841,                0.56132,                0.66996,             0.00028072,             0.00028072,             0.00028072
                     45,                0.44515,                0.33978,                 0.9672,                0.99113,                0.07542,                 0.1863,                0.17094,                 0.3985,                0.57964,                0.67667,             0.00024772,             0.00024772,             0.00024772
                     46,                0.45016,                 0.3359,                0.99822,                0.96113,                0.14991,                0.29376,                0.26386,                0.37555,                0.52783,                0.67099,             0.00021471,             0.00021471,             0.00021471
                     47,                0.43105,                0.32243,                0.98262,                0.99469,                0.15666,                0.41565,                0.39619,                0.37358,                0.53713,                 0.6635,              0.0001817,              0.0001817,              0.0001817
                     48,                 0.4253,                0.31672,                0.97806,                0.98756,                0.24371,                 0.4089,                0.38243,                0.37199,                0.53246,                0.66146,              0.0001487,              0.0001487,              0.0001487
                     49,                0.38501,                0.29741,                0.94821,                0.99071,                0.20695,                0.36736,                0.34204,                0.35728,                0.53429,                0.65358,             0.00011569,             0.00011569,             0.00011569
                     50,                0.38789,                0.28343,                0.94634,                0.98531,                0.13152,                0.27825,                0.26108,                0.34449,                0.50217,                0.64797,             8.2683e-05,             8.2683e-05,             8.2683e-05
